"transcript","logFC","logCPM","LR","PValue","FDR","contrast","expression"
"TRINITY_DN41964_c0_g1_i1",2.115742996,4.647015628,18.64131227,1.58e-05,0.000266168,"T1_vs_CTL","up"
"TRINITY_DN28942_c0_g1_i1",2.095284455,5.028066138,18.64062866,1.58e-05,0.000266168,"T1_vs_CTL","up"
"TRINITY_DN41365_c0_g1_i1",4.089330155,-0.035863618,18.64004644,1.58e-05,0.000266168,"T1_vs_CTL","up"
"TRINITY_DN56200_c0_g1_i2",3.192614013,0.436218235,18.61139917,1.6e-05,0.000269926,"T1_vs_CTL","up"
"TRINITY_DN50477_c1_g2_i1",6.026351381,-1.302275005,18.5916918,1.62e-05,0.000271638,"T1_vs_CTL","up"
"TRINITY_DN50245_c0_g1_i1",2.258582646,3.052455492,18.5734814,1.63e-05,0.000273788,"T1_vs_CTL","up"
"TRINITY_DN56938_c0_g1_i1",2.072025322,5.610712221,18.57284603,1.64e-05,0.000273788,"T1_vs_CTL","up"
"TRINITY_DN30911_c0_g1_i1",2.748479417,1.699093968,18.5683776,1.64e-05,0.000274156,"T1_vs_CTL","up"
"TRINITY_DN46186_c0_g1_i1",2.140594633,3.817123883,18.53821858,1.67e-05,0.00027825,"T1_vs_CTL","up"
"TRINITY_DN64179_c4_g1_i3",4.593218662,-1.072986992,18.52969833,1.67e-05,0.000279218,"T1_vs_CTL","up"
"TRINITY_DN65307_c8_g1_i1",3.195566142,0.48749376,18.45637944,1.74e-05,0.000289543,"T1_vs_CTL","up"
"TRINITY_DN50556_c0_g1_i1",2.843465934,1.04641939,18.41250338,1.78e-05,0.00029542,"T1_vs_CTL","up"
"TRINITY_DN60335_c0_g1_i1",2.064258229,5.54823566,18.410837,1.78e-05,0.00029542,"T1_vs_CTL","up"
"TRINITY_DN50396_c0_g1_i1",2.114893028,4.224280805,18.40825132,1.78e-05,0.000295528,"T1_vs_CTL","up"
"TRINITY_DN21040_c0_g1_i1",4.806159976,-0.428821396,18.40263537,1.79e-05,0.000295815,"T1_vs_CTL","up"
"TRINITY_DN51604_c0_g1_i1",2.817511993,0.882019038,18.39756206,1.79e-05,0.000296167,"T1_vs_CTL","up"
"TRINITY_DN42998_c0_g1_i2",2.664152053,1.438254561,18.39660664,1.79e-05,0.000296167,"T1_vs_CTL","up"
"TRINITY_DN56575_c0_g1_i1",2.080167898,4.889126191,18.37815637,1.81e-05,0.000298503,"T1_vs_CTL","up"
"TRINITY_DN60746_c0_g1_i2",2.073383504,5.214921037,18.37788424,1.81e-05,0.000298503,"T1_vs_CTL","up"
"TRINITY_DN35517_c0_g1_i1",2.42772565,2.546723686,18.33713522,1.85e-05,0.000304356,"T1_vs_CTL","up"
