"transcript","logFC","logCPM","LR","PValue","FDR","contrast","expression"
"16867","TRINITY_DN50945_c0_g1_i1",-3.444531382,6.059808984,46.1098446,1.12e-11,1.5e-09,"T2_vs_CTL","down"
"16868","TRINITY_DN65021_c1_g1_i1",-3.563780807,8.774064872,45.91234684,1.24e-11,1.64e-09,"T2_vs_CTL","down"
"16869","TRINITY_DN49962_c0_g1_i1",3.853847986,2.82388574,45.66660676,1.4e-11,1.85e-09,"T2_vs_CTL","up"
"16870","TRINITY_DN57826_c0_g1_i2",7.838631652,0.977435706,45.36972836,1.63e-11,2.12e-09,"T2_vs_CTL","up"
"16871","TRINITY_DN58081_c1_g1_i1",4.360512459,2.278663997,45.36608476,1.63e-11,2.12e-09,"T2_vs_CTL","up"
"16872","TRINITY_DN45125_c0_g1_i1",8.445527323,-0.507175068,45.24322178,1.74e-11,2.24e-09,"T2_vs_CTL","up"
"16873","TRINITY_DN49445_c0_g1_i1",-3.400792949,6.184802189,45.12996506,1.84e-11,2.36e-09,"T2_vs_CTL","down"
"16874","TRINITY_DN56529_c0_g1_i1",-3.490363504,3.964156266,44.67312319,2.33e-11,2.95e-09,"T2_vs_CTL","down"
"16875","TRINITY_DN49353_c0_g1_i2",3.466838482,8.013195366,44.6569938,2.35e-11,2.96e-09,"T2_vs_CTL","up"
"16876","TRINITY_DN55294_c0_g1_i1",-3.436894301,7.662163451,44.57217918,2.45e-11,3.06e-09,"T2_vs_CTL","down"
"16877","TRINITY_DN52353_c0_g1_i1",-3.868200943,2.565076421,44.50496879,2.54e-11,3.15e-09,"T2_vs_CTL","down"
"16878","TRINITY_DN49109_c0_g1_i1",3.609258335,3.744190872,44.34466766,2.75e-11,3.39e-09,"T2_vs_CTL","up"
"16879","TRINITY_DN137807_c0_g1_i1",4.49813886,1.473933765,44.28776718,2.83e-11,3.46e-09,"T2_vs_CTL","up"
"16880","TRINITY_DN59530_c6_g1_i1",-3.457220506,3.929904668,43.94828359,3.37e-11,4.09e-09,"T2_vs_CTL","down"
"16881","TRINITY_DN64638_c0_g1_i1",-3.351444365,5.263701728,43.73587643,3.76e-11,4.53e-09,"T2_vs_CTL","down"
"16882","TRINITY_DN53037_c0_g1_i1",3.320624262,6.300254805,43.21380085,4.91e-11,5.85e-09,"T2_vs_CTL","up"
"16883","TRINITY_DN51049_c0_g1_i2",4.661459925,1.831289168,43.20650348,4.93e-11,5.85e-09,"T2_vs_CTL","up"
"16884","TRINITY_DN52932_c0_g1_i1",-4.614800347,1.140174277,43.1416218,5.09e-11,6e-09,"T2_vs_CTL","down"
"16885","TRINITY_DN57217_c7_g2_i1",3.33038059,6.793981227,43.04503787,5.35e-11,6.26e-09,"T2_vs_CTL","up"
"16886","TRINITY_DN41682_c0_g1_i1",3.391701655,4.679438514,42.9731577,5.55e-11,6.43e-09,"T2_vs_CTL","up"
"16887","TRINITY_DN108071_c0_g1_i1",-3.379592732,7.948830715,42.96763157,5.57e-11,6.43e-09,"T2_vs_CTL","down"
"16888","TRINITY_DN41876_c1_g1_i1",7.143153686,4.360619187,42.93948848,5.65e-11,6.47e-09,"T2_vs_CTL","up"
"16889","TRINITY_DN63658_c1_g1_i1",-3.345919368,4.671172032,42.88949187,5.79e-11,6.6e-09,"T2_vs_CTL","down"
"16890","TRINITY_DN54916_c0_g1_i1",-3.367565048,4.258941464,42.55855886,6.86e-11,7.76e-09,"T2_vs_CTL","down"
"16891","TRINITY_DN29061_c0_g1_i2",3.361426752,4.624344502,42.53148535,6.96e-11,7.81e-09,"T2_vs_CTL","up"
"16892","TRINITY_DN49150_c0_g1_i1",3.293530418,5.453064875,42.51855234,7e-11,7.81e-09,"T2_vs_CTL","up"
"16893","TRINITY_DN49353_c0_g1_i1",3.298977645,6.152757342,42.43987849,7.29e-11,8.08e-09,"T2_vs_CTL","up"
"16894","TRINITY_DN64822_c1_g1_i1",-3.386377655,8.831801963,42.05975322,8.85e-11,9.75e-09,"T2_vs_CTL","down"
"16895","TRINITY_DN63009_c0_g1_i1",-3.303430243,4.736512521,41.85302506,9.84e-11,1.08e-08,"T2_vs_CTL","down"
"16896","TRINITY_DN53177_c0_g1_i1",3.270511791,5.776273865,41.81315262,1e-10,1.09e-08,"T2_vs_CTL","up"
"16897","TRINITY_DN59240_c0_g1_i1",3.285803102,5.459213376,41.7213738,1.05e-10,1.14e-08,"T2_vs_CTL","up"
"16898","TRINITY_DN53469_c0_g1_i1",-3.24524965,6.691688067,41.48902378,1.19e-10,1.27e-08,"T2_vs_CTL","down"
"16899","TRINITY_DN17726_c0_g1_i1",-3.28343778,4.499656683,41.47949464,1.19e-10,1.27e-08,"T2_vs_CTL","down"
"16900","TRINITY_DN63942_c0_g1_i1",4.468055613,1.314327514,41.11975478,1.43e-10,1.52e-08,"T2_vs_CTL","up"
"16901","TRINITY_DN59017_c0_g2_i2",-3.217171911,6.759655445,40.82750772,1.66e-10,1.75e-08,"T2_vs_CTL","down"
"16902","TRINITY_DN55169_c0_g1_i1",-3.352028386,3.738663454,40.77669693,1.71e-10,1.79e-08,"T2_vs_CTL","down"
"16903","TRINITY_DN46369_c0_g1_i1",-3.82577083,2.225169029,40.74799773,1.73e-10,1.8e-08,"T2_vs_CTL","down"
"16904","TRINITY_DN60553_c0_g2_i1",5.568472928,0.42429767,40.69756537,1.78e-10,1.84e-08,"T2_vs_CTL","up"
"16905","TRINITY_DN48436_c2_g1_i1",3.245124072,7.120882744,40.65441613,1.82e-10,1.87e-08,"T2_vs_CTL","up"
"16906","TRINITY_DN44381_c0_g1_i1",-3.19438979,5.462334043,40.44106571,2.03e-10,2.07e-08,"T2_vs_CTL","down"
"16907","TRINITY_DN41767_c0_g1_i1",-3.270655607,8.246956652,40.29663411,2.18e-10,2.21e-08,"T2_vs_CTL","down"
"16908","TRINITY_DN51128_c0_g1_i1",3.511631243,3.0322977,40.20472877,2.29e-10,2.31e-08,"T2_vs_CTL","up"
"16909","TRINITY_DN60048_c0_g1_i1",-3.252777646,4.247919811,40.19107657,2.3e-10,2.31e-08,"T2_vs_CTL","down"
"16910","TRINITY_DN61282_c0_g1_i1",-3.54041375,2.860051699,40.16401388,2.34e-10,2.33e-08,"T2_vs_CTL","down"
"16911","TRINITY_DN47698_c1_g1_i2",3.682633338,2.803943381,40.01248917,2.52e-10,2.5e-08,"T2_vs_CTL","up"
"16912","TRINITY_DN58005_c0_g1_i3",4.573437499,0.989337627,39.81300522,2.79e-10,2.74e-08,"T2_vs_CTL","up"
"16913","TRINITY_DN54085_c0_g1_i1",3.222546696,4.523653695,39.81108315,2.8e-10,2.74e-08,"T2_vs_CTL","up"
"16914","TRINITY_DN31843_c0_g1_i1",-3.350734543,3.309390492,39.73686026,2.91e-10,2.83e-08,"T2_vs_CTL","down"
"16915","TRINITY_DN59530_c5_g2_i1",-3.667712953,2.482377995,39.70943002,2.95e-10,2.85e-08,"T2_vs_CTL","down"
"16916","TRINITY_DN49046_c0_g1_i1",3.157339578,6.232604227,39.57911297,3.15e-10,3.03e-08,"T2_vs_CTL","up"
"16917","TRINITY_DN61564_c6_g1_i1",4.500266212,1.266895937,39.47675685,3.32e-10,3.15e-08,"T2_vs_CTL","up"
"16918","TRINITY_DN61574_c0_g3_i1",4.235649296,1.742444586,39.47512057,3.32e-10,3.15e-08,"T2_vs_CTL","up"
"16919","TRINITY_DN63930_c0_g1_i1",-3.284110871,9.313491997,39.46797944,3.33e-10,3.15e-08,"T2_vs_CTL","down"
"16920","TRINITY_DN55746_c0_g1_i1",3.146895541,5.606628639,39.43942763,3.38e-10,3.18e-08,"T2_vs_CTL","up"
"16921","TRINITY_DN57217_c7_g1_i1",3.341830083,4.011373806,39.38702606,3.48e-10,3.25e-08,"T2_vs_CTL","up"
